index,id,title,douyin_url,baidu_url
498,379,矶野员昌,/wikiid/3735623721235990383?source=search,https://baike.baidu.com/item/%E7%9F%B6%E9%87%8E%E5%91%98%E6%98%8C
499,331,原长赖,,https://baike.baidu.com/item/%E5%8E%9F%E9%95%BF%E8%B5%96
500,216,波多野稙通,/wikiid/975075161758170623?source=search,https://baike.baidu.com/item/%E6%B3%A2%E5%A4%9A%E9%87%8E%E7%A8%99%E9%80%9A
501,291,甘利虎泰,/wikiid/3867276175430867486?source=search,https://baike.baidu.com/item/%E7%94%98%E5%88%A9%E8%99%8E%E6%B3%B0
502,491,织田信兴,/wikiid/2325623561401844346?source=search,https://baike.baidu.com/item/%E7%BB%87%E7%94%B0%E4%BF%A1%E5%85%B4
503,708,上田七本枪,/wikiid/7329500490584770728?source=search,https://baike.baidu.com/item/%E4%B8%8A%E7%94%B0%E4%B8%83%E6%9C%AC%E6%9E%AA
504,1980,藏入地,,
505,286,秋山信友,/wikiid/6212324921875816980?source=search,https://baike.baidu.com/item/%E7%A7%8B%E5%B1%B1%E4%BF%A1%E5%8F%8B
506,937,宗像正氏,,https://baike.baidu.com/item/%E5%AE%97%E5%83%8F%E6%AD%A3%E6%B0%8F
507,132,今川氏亲,/wikiid/5376253313369347879?source=search,https://baike.baidu.com/item/%E4%BB%8A%E5%B7%9D%E6%B0%8F%E4%BA%B2
508,187,岛津忠治,,
509,866,堀田兴重,,
510,1707,八流之战,/wikiid/7070594108785991860?source=search,https://baike.baidu.com/item/%E5%85%AB%E6%B5%81%E4%B9%8B%E6%88%98
511,296,青山幸成,/wikiid/971859486428332672?source=search,https://baike.baidu.com/item/%E9%9D%92%E5%B1%B1%E5%B9%B8%E6%88%90
512,1886,信长公记,/wikiid/5738655101693616947?source=search,https://baike.baidu.com/item/%E4%BF%A1%E9%95%BF%E5%85%AC%E8%AE%B0
513,29,北条氏直,/wikiid/2109265823130794322?source=search,https://baike.baidu.com/item/%E5%8C%97%E6%9D%A1%E6%B0%8F%E7%9B%B4/4389260
514,1084,户田忠次,,
515,803,别所友之,,https://baike.baidu.com/item/%E5%88%AB%E6%89%80%E5%8F%8B%E4%B9%8B
516,1347,神保长城,/wikiid/5444610963114900761?source=search,https://baike.baidu.com/item/%E7%A5%9E%E4%BF%9D%E9%95%BF%E5%9F%8E
517,9,安国寺惠琼,/wikiid/4647363178358470789?source=search,https://baike.baidu.com/item/%E5%AE%89%E5%9B%BD%E5%AF%BA%E6%83%A0%E7%90%BC/1612607
518,227,相马盛胤 (大膳大夫),/wikiid/4627538466253357866?source=search,
519,1467,足立六兵卫,/wikiid/6218105601988320608?source=search,https://baike.baidu.com/item/%E8%B6%B3%E7%AB%8B%E5%85%AD%E5%85%B5%E5%8D%AB
520,1442,芦名氏方,/wikiid/8314245040743848774?source=search,https://baike.baidu.com/item/%E8%8A%A6%E5%90%8D%E6%B0%8F%E6%96%B9
521,1537,高坂昌元,,
522,1695,三河一向一揆,,https://baike.baidu.com/item/%E4%B8%89%E6%B2%B3%E4%B8%80%E5%90%91%E4%B8%80%E6%8F%86
523,645,氏家定直,/wikiid/5379836134798103852?source=search,https://baike.baidu.com/item/%E6%B0%8F%E5%AE%B6%E5%AE%9A%E7%9B%B4
524,921,姊小路信纲,,
525,1890,天下布武,/wikiid/6530257340895652653?source=search,https://baike.baidu.com/item/%E5%A4%A9%E4%B8%8B%E5%B8%83%E6%AD%A6
526,498,织田信好,/wikiid/948994209224418777?source=search,https://baike.baidu.com/item/%E7%BB%87%E7%94%B0%E4%BF%A1%E5%A5%BD
527,1535,马场赖周,/wikiid/4653316743194933728?source=search,https://baike.baidu.com/item/%E9%A9%AC%E5%9C%BA%E8%B5%96%E5%91%A8
528,308,长宗我部元亲,/wikiid/7449501610704333381?source=search,https://baike.baidu.com/item/%E9%95%BF%E5%AE%97%E6%88%91%E9%83%A8%E5%85%83%E4%BA%B2/1610879
529,1217,樱田元亲,,
530,1637,安国寺利生塔,,
